0,1,2
GLUSz_c11,-27.86573615,GLUSz_c11: cpd00024_c11 + cpd00053_c11 + 2.0 cpd00067_c11 + fdxr-4-COLON-2-c_c11 <=> 2.0 cpd00023_c11 + fdxo-4-COLON-2-c_c11
rxn01678_c11,0,rxn01678_c11: cpd00002_c11 + cpd00978_c11 <=> cpd00008_c11 + cpd00358_c11
rxn05559_c11,0,rxn05559_c11: cpd00047_e2 + cpd00067_e2 <=> cpd00047_c11 + cpd00067_c11
CYOR1m_c11,24.9996,CYOR1m_c11: 2.0 cpd00109_c11 + cpd23255_c11 --> cpd00067_c11 + cpd00067_e2 + 2.0 cpd00110_c11 + cpd11606_c11
rxn15167_c11,0,rxn15167_c11: cpd00054_c11 + cpd00135_c11 --> cpd00001_c11 + cpd19019_c11
FNOR_c11,0,FNOR_c11: cpd00006_c11 + cpd00067_c11 + fdxr-4-COLON-2-c_c11 --> cpd00005_c11 + fdxo-4-COLON-2-c_c11
rxn01517_c11,0,rxn01517_c11: cpd00002_c11 + cpd00299_c11 --> cpd00008_c11 + cpd00978_c11
rxn00364_c11,0,rxn00364_c11: cpd00002_c11 + cpd00046_c11 <=> cpd00008_c11 + cpd00096_c11
rxn03951_c11,0,rxn03951_c11: cpd00003_c11 + cpd03607_c11 --> cpd00004_c11 + cpd00067_c11 + cpd04539_c11
rxn01219_c11,0,rxn01219_c11: cpd00002_c11 + cpd00206_c11 <=> cpd00008_c11 + cpd00533_c11
rxn30066_c11,0.077382467,rxn30066_c11: cpd00054_c11 + cpd29667_c11 --> cpd00001_c11 + cpd00065_c11 + cpd00102_c11
HHYHL2_c11,0,HHYHL2_c11: 3hhacp-c_c11 --> 2theacp-c_c11 + cpd00001_c11
rxn04142_c11,0,rxn04142_c11: cpd03282_c11 --> cpd00033_c11 + cpd00071_c11
rxn05305_c11,0,rxn05305_c11: cpd00039_c11 + cpd00067_e2 --> cpd00039_e2 + cpd00067_c11
OCTT_c11,0,OCTT_c11: cpd00113_c11 + cpd02557_c11 --> cpd00012_c11 + nondp-c_c11
rxn02898_c11,0,rxn02898_c11: cpd02021_c11 --> cpd00010_c11 + cpd02295_c11
MCMAT4_c11,13.05235,MCMAT4_c11: cpd00067_c11 + malacp-c_c11 + octacp-c_c11 --> 3oxdeacp-c_c11 + acp-c_c11 + cpd00011_c11
rxn30032_c11,0,rxn30032_c11: cpd00001_c11 + 4.0 cpd00689_c11 --> cpd00755_c11 + 4.0 cpd19013_c11
rxn00611_c11,0,rxn00611_c11: cpd00003_c11 + cpd00080_c11 --> cpd00004_c11 + cpd00067_c11 + cpd00095_c11
rxn10036_c11,0,rxn10036_c11: 13.0 cpd00005_c11 + cpd00022_c11 + 19.0 cpd00067_c11 + 7.0 cpd00070_c11 --> 6.0 cpd00001_c11 + 13.0 cpd00006_c11 + 8.0 cpd00010_c11 + 7.0 cpd00011_c11 + cpd15237_c11
rxn02269_c11,0.005460167,rxn02269_c11: cpd00003_c11 + cpd00010_c11 + cpd00508_c11 --> cpd00004_c11 + cpd00011_c11 + cpd00760_c11
rxn02374_c11,0,rxn02374_c11: cpd00858_c11 <=> cpd00001_c11 + cpd00067_c11 + cpd02431_c11
rxn00143_c11,0,rxn00143_c11: cpd00001_c11 + cpd00019_c11 --> cpd00128_c11 + cpd02227_c11
rxn00248_c11,0,rxn00248_c11: cpd00003_c11 + cpd00130_c11 <=> cpd00004_c11 + cpd00032_c11 + cpd00067_c11
rxn01644_c11,0,rxn01644_c11: cpd00020_c11 + cpd00346_c11 --> 2.0 cpd00001_c11 + cpd00067_c11 + cpd02120_c11
LEUD_c11,0,LEUD_c11: cpd00001_c11 + cpd00003_c11 + leu-D-c_c11 --> cpd00004_c11 + cpd00067_c11 + cpd00200_c11 + cpd19013_c11
OCMAT3_c11,13.05235,OCMAT3_c11: 2toceacp-c_c11 + cpd00004_c11 + cpd00067_c11 --> cpd00003_c11 + octacp-c_c11
rxn10620_c11,0,rxn10620_c11: cpd00038_c11 + cpd00939_c11 --> cpd00031_c11 + cpd00067_c11 + cpd02775_c11
HDH2_c11,0,HDH2_c11: 2.0 cpd00067_c11 + cpd11606_c11 + cpd11640_c11 --> 2.0 cpd00067_e2 + cpd23255_c11
rxn00293_c11,0.112604742,rxn00293_c11: cpd00062_c11 + cpd00067_c11 + cpd02611_c11 --> cpd00012_c11 + cpd00037_c11
rxn06081_c11,0,rxn06081_c11: cpd11427_c11 + cpd11652_c11 --> cpd00046_c11 + cpd00067_c11 + cpd12801_c11
rxn00704_c11,0,rxn00704_c11: cpd00089_c11 <=> cpd00079_c11
rxn11544_c11,0,rxn11544_c11: cpd00001_c11 + 2.0 cpd00002_c11 + 2.0 cpd00053_c11 + cpd03832_c11 --> 2.0 cpd00008_c11 + cpd00012_c11 + 2.0 cpd00023_c11 + cpd00067_c11 + cpd03913_c11
rxn13731_c11,0,rxn13731_c11: cpd00220_c11 --> cpd01997_c11 + cpd17036_c11
HDEHL4_c11,0,HDEHL4_c11: 3hdeacp-c_c11 --> 2tdeacp-c_c11 + cpd00001_c11
rxn03150_c11,0,rxn03150_c11: cpd00001_c11 + cpd02904_c11 --> cpd00009_c11 + cpd03423_c11
rxn30064_c11,0,rxn30064_c11: cpd00161_c11 --> cpd00094_c11 + cpd19013_c11
HDDHL5_c11,0,HDDHL5_c11: 3hddacp-c_c11 --> 2tddacp-c_c11 + cpd00001_c11
KARA1_c11,0,KARA1_c11: cpd00006_c11 + cpd19030_c11 <=> cpd00005_c11 + cpd00067_c11 + cpd00668_c11
rxn33164_c11,0,rxn33164_c11: 2.0 cpd00020_c11 + cpd00067_c11 --> cpd00011_c11 + cpd00668_c11
CODH_c11,0,CODH_c11: CO-c_c11 + cpd00001_c11 + fdxo-4-COLON-2-c_c11 --> cpd00011_c11 + 2.0 cpd00067_c11 + fdxr-4-COLON-2-c_c11
